id,nama,alamat,latitude,longitude,telepon
212,PT Agro Rawas Ulu,"Jl. Lintas Sumatera Sarolangun KM 99, Pasar Surulangun, Rawas Ulu",-2.6119889,102.7699902,0614152043
213,PT Agung Jayasari Sakti,"jl. Raya Palembang-Prabumulih Km. 29 Indralaya, Ogan Ilir, Palem Raya, Indralaya Utara",-3.0728328,104.738168,
214,PR Agus,"Jln. Sosial Lrg. Bersama No. 631 RT. 014 RW. 002, Suka Bangun, Sukarami",-2.9406121,104.7382601,
215,PR Agustina,"Jalan kebun bunga komplek pondok bunga blok c no.2117, Kebun Bunga, Sukarami",-2.9124111,104.7192077,
216,PR Agustinus Maria Christian,"Jl. Al Hikmah Perum Golden Hill No. 11, Ilir, Ilir Timur Tiga",-2.9348146,104.7633947,
217,PR Ahmad Yahdiani,"DUSUN 1, Aremantai, Semende Darat Ulu",-4.1884134,103.5407993,
218,PT Alam Perkasa Lestari,"Jl. Pasir Putih Km.17, Sukajadi, Talang Kelapa",-2.9053319,104.6415298,0711572567
219,PR Alamsyah Tanuwijaya Tan,"Jalan Gotong Royong III No. 429 RT. 008 RW. 003, Sako Baru, Sako",-2.9148692,104.7738109,0711815698
220,PR Albarokah,"jalan taqwa mata merah perumahan cipta permai 2 blok f7, Sei Selincah, Kalidoni",-2.9477921,104.844792,
221,PR Albie Crafts,"Jl. Vetran Pelawaran gang rukun pelitasari, Pasar I Muara Enim, Muara Enim",-3.6516825,103.7792527,
222,CV Alfa Iceman,"Jl.By Pass Alang Alang Lebar Komplek Pergudangan Graha Mitra Sukarame Blok C 6, Talang Kelapa, Alang-alang Lebar",-2.9293425,104.6804536,
223,PR Ali Nurahman,"Dusun X RT 1 RW 10, Suka Maju, Babat Supat",-2.6848885,104.088517,
224,PT Alumagada Jaya Mandiri,"Jalan Nurdin Panji KM 12 Desa Batu Pance, Batu Pance, Tebing Tinggi",-3.6547671,103.0328135,0711715232
225,PR AMAN,"JLN SULTAN SYAHRIR NO 57 RT 009 RW 002, Ilir, Ilir Timur II",-2.9655128,104.776753,
226,PR Ambo Elen,"Jl. Ariodila No.2126, Ilir D. I, Ilir Timur I",-2.9671956,104.7404303,
227,PR Amma Kitchen,"Komplek Afila Permai Blok C no. 5 Kenten Laut, Kenten, Talang Kelapa",-2.9113268,104.7709564,
228,PR Amoy Cake & Cookies,"PERUM OPI . BLOK AP NO.17 JAKABARING PALEMBANG., - Ulu, Jakabaring",-3.000147,104.771924,
229,PR Amrina Rosyada,"JL KH AZHARI Kel. Sebelas Ulu Kec. Seberang Ulu Dua, Ulu, Seberang Ulu II",-3.0034262,104.7796965,
230,PR Ananda Putri Pramesti,"KOMP.GRIYA SEJAHTERA BLOK H NO.2, Sako, Sako",-2.9189199,104.7440116,
231,PR Anas,"Jl. Garuda Komplek Green Garden. RT.02, Kayu Ara, Lubuk Linggau Barat I",-3.3200819,102.8308777,
232,PR Andestab,"Jl pahlawan abu sama no 89 ds 1 rt 002, Tanjung Atap Barat, Tanjung Batu",-3.3593759,104.6280955,
233,PT Andira Agro,"Dusun Teluk Naning, Karang Anyar, Muara Padang",-2.7911718,105.0942902,
234,PR Andriani,"Jl. Sukatani I, Ilir, Ilir Timur Tiga",-2.9333359,104.7680525,
235,PT ANDSINLI SUMBER BARU,"Jl. Sukamakmur no :89, Air Batu, Talang Kelapa",-2.9044247,104.6216375,
236,PT ANEKA BUMI PRATAMA,"JL.  PULOKERTO RT. 04 RW. 02, Pulo Kerto, Gandus",-3.0319993,104.6690028,07117440991
237,CV Angela,"Griya Bumi Lestari Blok B.4 No.11, Balai Agung, Sekayu",-2.8523277,103.8743306,
238,PR Ani Baniar,"JALAN LETNAN JAIMAS  NO 26, Ilir, Bukit Kecil",-2.980933,104.7528387,
239,PR Anita Angraini,"Jalan Di  panjaitan  no. 5577 rt.30 rw.10, Plaju Ulu, Plaju",-2.9960288,104.8068503,
240,PR Anita Apriliana,"Komplek Way Hitam Jl. Musi 3Blok D No. 99 RT..04 RW. 07 Kel. Siring Agung Kec. Ilir Barat 1 Palembang, Siring Agung, Ilir Barat I",-2.96645,104.72423,
241,PR Aa Sugiri,"DESA KALBANG, Desa/Kelurahan Kalbang, Kec. Lais, Kab.  Utara, Provinsi, Kalbang, Lais, Kabupaten  Utara",-3.4669647,102.1232558,
242,CV Abadi,"Jalan Hibrida No. 51, Pagar Dewa, Selebar, Kota",-3.830255,102.3149258,073651005
243,UD ADRIA PUTRA,"JL. Putri Gading Cempaka V RT.6 RW.2, Kelurahan Penurunan Kecamatan Ratu Samban, Penurunan, Ratu Samban, Kota",-3.8119289,102.2698328,
244,PT Agra Sawitindo,"JL. RAYA BENGKULU - CURUP KM 20, UJUNG KARANG, KARANG TINGGI, Kabupaten  Tengah",-3.7631786,102.4008079,0721259996
245,PT Agri Andalas,"JL. SIMPANG TIGA PASAR NGALAM, DERMAYU, AIR PERIUKAN",-3.8828024,102.3344745,0736345800
246,PT Agricinal,"DESA PASAR SEBELAT, -, PUTRI HIJAU, Kabupaten  Utara",-3.216344,101.6214657,
247,PT Agrindo Indah Persada,"Jl. Lintas   Manna KM 45 Desa Tumbuan, Desa Tumbuan, Lubuk Sandi",-4.0103777,102.500263,
248,PT Agro Mega Perkasa,"Jl. Raya Pelabuhan No.8, Teluk Sepang, Kampung Melayu, Kota",-3.9200494,102.2996809,
249,PR Agung Putro Wijoyo,"JL. STADION SELATAN NO. 15, Batu Galing, Curup Tengah",-3.4719617,102.5388115,
250,PR Ahmad Gazali,"Jl. Talang Tahaji Pondok Pusaka, Padang Petron, Kaur Selatan",-4.7512789,103.3617756,
251,PR Ahyena Ruzam Dani,"Jln. Nibung Indah Kelurahan Bandar Ratu Kecaamatan Kota Mukomuko, Bandar Ratu, Kota Mukomuko",-2.540748,101.1051259,
252,PT Air Muring,"Jl. Desa Air Muring, Desa Air Muring, Putri Hijau, Kabupaten  Utara",-3.2054371,101.7125228,0736345010
253,PR Akhmad Jumat Diwijaya,"Jl. Pepaya, Gang Jeruk 1 Blok III No. 78 Rt.007 Rw. 003, Lingkar Timur, Singaran Pati, Kota",-3.818313,102.3015996,
254,PR Akil Chandra,"Pasar Pedati, Pasar Pedati, Pondok Kelapa, Kabupaten  Tengah",-3.7028914,102.2719604,
255,PR Akuatik Batik,"Jl. Gama 1, Pasar Baru, Kota Manna, Kabupaten  Selatan",-4.4540171,102.9104145,
256,PT Alqaisar Jaya Persada,"Desa Sawang Lebar, Sawang Lebar, Tanjung Agung Palik, Kabupaten  Utara",-3.5746765,102.2147425,
257,PR Ammy Cha Bakery,"Pasar Pedati, Pasar Pedati, Pondok Kelapa, Kabupaten  Tengah",-3.7028914,102.2719604,
258,PR Amriyani,"Jln Fatmawati, Ujung Padang, Kota Mukomuko",-2.5453678,101.1334267,
259,PT Perorangan Anggi Dwi Cahyono Saputra,"jl.sidodadi, ps ujung, kepahiang, Pasar Ujung, Kepahiang",-3.6459001,102.5883677,
260,PR Anggrek Putih,"Harapan makmur, Harapan Makmur, Pondok Kubang, Kabupaten  Tengah",-3.7413449,102.3635701,
261,PR ANI ROSITA,"DESA BALAM, Balam, Air Padang, Kabupaten  Utara",-3.4001995,102.1261136,
262,PR Anis Triana,"DESA PONDOK KELAPA, Pondok Kelapa, Pondok Kelapa, Kabupaten  Tengah",-3.6831847,102.2605144,
263,PR Anita Lestari,"Desa BAJAK 1, Bajak I, Taba Penanjung, Kabupaten  Tengah",-3.6897238,102.5011247,
264,CV Annaya Barokah,"Desa Suban Ayam Dusun III, Suban Ayam, Selupu Rejang",-3.4902368,102.6043996,
265,CV Anugerah Alam Indonesia,"Jl. Pematang Keramat RT. 006 RW. 003, Betungan, Selebar, Kota",-3.8805015,102.3586705,
266,PT Anugerah Pelangi Sukses,"Desa Beriang Tinggi, Beriang Tinggi, Tanjung Kemuning",-4.562281,103.1077271,
267,PR Arie Tri Septiningsih,"Padang Jaya, Padang Jaya, Padang Jaya, Kabupaten  Utara",-3.3808214,102.1488638,
268,PT Arista Auto Prima,"Jl. Adam Malik Rt. 001 Rw. 001, Pagar Dewa, Selebar, Kota",-3.842,102.3171164,07365511888
269,CV As Bengkel Body,"Jalan Ratu Agung RT.006 RW.001, Anggut Bawah, Ratu Samban, Kota",-3.8006106,102.2584594,
270,PR Aseni,"DESA PASAR PEDATI, Pasar Pedati, Pondok Kelapa, Kabupaten  Tengah",-3.7028914,102.2719604,
271,PR Asih Nordiyati,"JL. A YANI DUSUN II, Padang Jaya, Padang Jaya, Kabupaten  Utara",-3.3751423,102.1148687,
272,PR Asnawati,"Desa Way Hawang, Kecamatan Maje, Way Hawang, Maje",-4.8593528,103.4380485,
273,PR Asni Batik Sekundang,"JL.SEMEAN, RT. 10, Ibul, Kota Manna, Kabupaten  Selatan",-4.453503899999999,102.930602,
274,PR Asri Widia Ningsih,"JL MAKAM DUSUN 5, Padang Jaya, Padang Jaya, Kabupaten  Utara",-3.2783847,102.2033025,
275,PR Astri Fatmasari,"Perum graha asri blok f no 57, Pekan Sabtu, Selebar, Kota",-3.8505585,102.3423628,
276,PR Atol,"desa suka jaya kecamatan kedurang ilir, Suka Jaya, Kedurang Ilir, Kabupaten  Selatan",-4.5516652,103.0688239,
277,PR Atrianah,"Jl. Air Manjunto NO.31 RT.23 RW.001 Perum Betungan Asri, Betungan, Selebar, Kota",-3.8658121,102.3518106,
278,PR Azkiya Sale Pisang,"Jalan Lintas Barat, Suka Jaya, Kedurang Ilir, Kabupaten  Selatan",-4.5505248,103.0696888,
279,PR Badan Hukum Selain PT Kwt Kemuning,"Jl. Pagar Alam, Lembur Lama, Bermani Ilir",-3.7110336,102.7060802,
280,PR Baidillah,"Desa BAJAK 1, Bajak I, Taba Penanjung, Kabupaten  Tengah",-3.6897238,102.5011247,
281,PR 2r Handycrat,"Jalan P.Singkep gg AMD Sukabumi Bandar, Sukabumi, Sukabumi, Kota Bandar",-5.3962663,105.313119,
282,PR Aan Sumantri,"Perumnas tulung mili desa kotabumi ilir kec. kotabumi. Kab lampung Utara prov., Kotabumi Ilir, Kotabumi, Kabupaten  Utara",-4.8296999,104.9165897,
283,PR Abdul Rasyid,"Kali Reja II, Pajar Bulan, Way Tenong, Kabupaten  Barat",-5.0575582,104.4315746,
284,PR Abu Hanif Roastery,"Jl Turi Raya Gg palem no.1, Labuhan Dalam, Tanjung Senang, Kota Bandar",-5.3630203,105.2675999,
285,PR Acep Sutiman,"Desa Berasan Makmur RT/RW.002/004, Berasan Makmur, Tanjung Raya",-3.9909168,105.3299249,
286,PR Adi Candra,"Sidomulyo, Sido Mulyo, Mesuji",-3.8939856,105.4185227,
287,PT ADIKARYA GEMILANG,"Jalan Yos Sudarso No. 29, Way Lunik, Teluk Betung Selatan, Kota Bandar",-5.4546284,105.31086,072131243
288,PR Agnes Eka Pratiwi,"Brabasan, Brabasan, Tanjung Raya",-3.9893309,105.3306814,
289,PT Agri Lestari Nusantara,"Jl. Ir. Sutami Km.7 Kp Cikondang No. 57, Campang Jaya, Sukabumi, Kota Bandar",-5.428686,105.3279144,07218040003
290,PT Agro Bumi Mas,"Desa Hanakau Jaya, Hanakau Jaya, Sungkai Utara, Kabupaten  Utara",-4.5828386,104.7404269,0721486122
291,CV Agro Mitra Berjaya,"Dusun III, RT.09/RW.05, Pujo Basuki, Trimurjo, Kabupaten  Tengah",-5.0662303,105.2516629,
292,CV Agromitra Sejahtera,"Jalan Tirta Ria Gang Mawar III No. 24/3, Way Kandis, Tanjung Senang, Kota Bandar",-5.3511754,105.2881747,
293,PT Agung Jayaraya Indonesia,"JALAN BUMI RAHAYU DUSUN V SIDOBANGUN, BUMI RATU NUBAN, BUMI RATU, Kabupaten  Tengah",-5.0643859,105.1997549,
294,PR Agung Permadi,"JL. PURNAWIRAWAN RAYA, Gedong Meneng, Rajabasa, Kota Bandar",-5.3794128,105.241576,
295,PR Agus Susanti,"Sukadana naru, Sukadana  Baru, Marga Tiga, Kabupaten  Timur",-5.1795462,105.5389048,
296,PR Ahmad Gayuh Shakespeare,"Dsn Srimulyo II Pemanggilan Desa Pemanggilan Kec. Natar Kab.  Selatan Prov., Pemanggilan, Natar, Kabupaten  Selatan",-5.3371532,105.2133091,
297,PR Ahmad Zikriansyah,"Desa waysido, Way Sido, Tulang Bawang Udik",-4.6418282,105.0265195,
298,PR Ahmad Zulpikar,"Pemangku Argo Mulyo, Tambak Jaya, Way Tenong, Kabupaten  Barat",-5.0421452,104.3297353,
299,PR Aini Puspitasari,"desa kelapa tujuh, kec. kotabumi Selatan Kab.  Utara, Kelapa Tujuh, Kotabumi Selatan, Kabupaten  Utara",-4.8450864,104.9096846,
300,PR Aisyah,"Perum Abdi Negara Blok C5 No. 17 RT 009, Sukabumi, Sukabumi, Kota Bandar",-5.4013135,105.3224349,
301,PT AKR CORPORINDO,"Jalan Sumatera, Komplek Pelabuhan Panjang, Bandar, Panjang Utara, Panjang, Kota Bandar",-5.4686328,105.3197043,0721343100
302,PR Al Matte,"dusun sumur induk RT/RW 001/001 desa sumur kecamatan ketapang, Sumur, Ketapang, Kabupaten  Selatan",-5.8274134,105.7750657,
303,PT Alam Mencar Jaya,"KAMPUNG WAY MENCAR  DUSUN 1 RT.01 RW.02, KECAMATAN WAY TUBA, KABUPATEN WAY KANAN, Way Mencar, Way Tuba",-4.438336899999999,104.3413705,
304,CV Alben,"SIDOREJO, Sidorejo, Sidomulyo, Kabupaten  Selatan",-5.5770604,105.516665,
305,PR Ali Barata,"MARGA UTAMA 2, Puralaksana, Way Tenong, Kabupaten  Barat",-5.0302064,104.4112011,
306,PR Allysa Tapis Lampung,"Jl. Cumi-cumi No.08 RT/RW : 31/12 yosodadi metro timur, Yosodadi, Metro Timur",-5.1067816,105.341514,
307,PT Alpan Tabriiz Perkasa,"Desa Batangharjo Kec. Batanghari Kab.  Timut, Batangharjo, Batanghari, Kabupaten  Timur",-5.117184,105.3810352,
308,PT Aman Jaya Perdana,"Jl. Ir. Sutami Km 7, Campang Raya, Sukabumi, Kota Bandar",-5.428686,105.3279144,0721350135
309,PR Amanah Motor,"Jl. Melati I, Karangrejo, Metro Utara",-5.0851787,105.3180358,
310,UD Amanatus Shodiqoh,"Pringsewu, Pringsewu  Selatan, Pringsewu",-5.3627592,104.966631,
311,PR Amrina Wati,"Jl. Aspol No.187 Lk. Ugi Kel. Ujung Gunung Kec. Menggala, Ujung Gunung Ilir, Menggala",-4.480953299999999,105.2376533,082177840842
312,PR Andah Tatrawati,"Dusun IX Desa Sungai Langka, Sungai Langka, Gedong Tataan",-5.3884839,105.1751336,
313,PR Andhika Mudyatama,"Jl. Dewi sartika rt 24 rw 05, Banjarsari, Metro Utara",-5.1010221,105.2788767,
314,PR Andik Sudibyo,"Jl. ZA Pagar Alam RT005 RW001 Brabasan, Brabasan, Tanjung Raya",-4.0030102,105.3306456,
315,PT Andini Agro Loka,"Jl Way Tebabeng Kampung Bandar Putih Tua, Bandar Putih Tua, Anak Ratu Aji, Kabupaten  Tengah",-4.927180799999999,104.9778648,02158901425
316,PR Andreas Purwoko,"PERUM BUKIT KEMILING PERMAI BLOK R.205, KEMILING, Kemiling Permai, Kemiling, Kota Bandar",-5.3772338,105.2146701,
317,PR Andri,"MULYA SARI, FAJAR BULAN WAY TENONG, Desa/Kelurahan Pajar Bulan, Kec. Way Tenong, Kab.  Barat, Pajar Bulan, Way Tenong, Kabupaten  Barat",-5.047638,104.3939533,
318,PT Aneka Coklat Kakoa,"Jalan Ikan Mas Gudang Lelang No.46, Kangkung, Bumi Waras, Kota Bandar",-5.4508193,105.2677233,0721474567
319,PR Aneka Kerpik,"Desa sungai langka dusun 4 rt 02, Sungai Langka, Gedong Tataan",-5.3884839,105.1751336,
320,PR Anggraini Tapis,"Pamenang rt 003 Rw001 Kec. Pagelaran, Pamenang, Pagelaran",-5.3477514,104.9067648,
321,PR Aa Food,"Jl Saringan E31 komplek PUSMET RT 01 RW 02, Sungai Baru, Muntok",-2.066385,105.1842824,
322,PR Aa Hfn,"jl. air itam kp. samak sampur no.41, RT.03/RW.01, Sinar Bulan, Bukitintan",-2.1467875,106.1665529,
323,PR Aak Yang,"Kampung teluk Rubiah RT 002 Rw 006, Tanjung, Muntok",-2.0678947,105.165824,
324,PR Abang Achmad Fuad,"Jl Adhyaksa no 114  rt 002/001, Kacang Pedang, Gerunggang",-2.1260849,106.1040808,
325,PR Abdul Malik,"Jl. KAKAP 1, Ampui, Pangkal Balam",-2.1068193,106.1288809,
326,CV Aceline Sinar Gemilang,"Jl. Serma Abdullah, RT.017 / RW.006, Aik Rayak, Tanjung Pandan",-2.743666,107.6688527,
327,PR Ade Irmawati,"KAMPUNG BARU DUSUN II, Belo Laut, Muntok",-2.0651651,105.1643012,
328,PR Ade Lestari,"Dusun Manggarawan RT.002 RW.001, Padang, Manggar",-2.9005494,108.2176431,
329,PR Adetiya Pertiwi,"Dusun Arab II RT 22 RW 11, Kurnia Jaya, Manggar",-2.8630391,108.2881709,
330,PR Adisty Pratiwi,"Jl. Karya RT. 23 RW. 08, Air Merbau, Tanjung Pandan",-2.7040276,107.6734695,
331,PR Adrina Trise Arlika,"JL. DEPATI HAMZAH GANG MERAH DELIMA I, Air Itam, Bukitintan",-2.1417996,106.1512431,
332,PR Afani Nisarahma,"Dusun Kabung Jaya, Mekar Jaya, Manggar",-2.8620709,108.274824,
333,PR Afie,"Lingkungan Jelitik Nomor 331, Desa/Kelurahan Jelitik, Kec. Sungailiat, Kab. Bangka, Provinsi, Jelitik, Sungailiat",-1.8882116,106.1370934,
334,PR Afrilia Ilkarita,"Perumahan graha arwana 2 no 86 air ruai Pemali Bangka, Air Ruai, Pemali",-1.8868296,106.0816536,
335,PR Ages Kempelang,"Kampung Sungai Baru Rt 003 Rw 001, Sungai Baru, Muntok",-2.0610265,105.1791498,
336,PR Agi Maharani,"JALAN	YOSSUDARSO	VI, Gabek Dua, Gabek",-2.1036421,106.117562,
337,PR Agus Hendra,"Jalan Murai Dalam No.110 RT.31/RW.10  Desa Aikraya, Aik Rayak, Tanjung Pandan",-2.7415534,107.673297,
338,PR Agusti Irri Susanti,"Dusun Harapan Jaya RT.003, Lalang Jaya, Manggar",-2.871626,108.271858,
339,PR Agustina,"JL RE MARTADINATA, Opas Indah, Taman Sari",-2.1169221,106.1166127,
340,PR Agustina,"JL. DAMAI TOBOALI, Toboali, Toboali",-3.0197837,106.4628688,
341,PR Agustina,"LINGKUNGAN NELAYAN II, Desa/Kelurahan Sungailiat, Kec. Sungailiat, Kab. Bangka, Provinsi, Sungailiat, Sungailiat",-1.8485368,106.1260038,
342,PR Aisyah,"Jl. Kampung melayu Perumahan Grand Gandaria, Air Kepala Tujuh, Gerunggang",-2.1143479,106.0823622,
343,PR Aisyah,"Jl. Ahmad Yani Gg. Sahabat, Kejaksaan, Taman Sari",-2.1299127,106.1065658,
344,PR Ak Nori,"Dusun pait Jaya Dusun Belo Laut, Belo Laut, Muntok",-2.0555261,105.1932323,
345,PR Akar Bahar Usnadi,"kp.Tegal Rejo, Sungai Baru, Mentok",-2.0632419,105.1755452,
346,CV Al-jazira,"JALAN DEPATI HAMZAH, Bacang, Bukitintan",-2.1400145,106.1428956,
347,PR Alfani,"Dusun VII Jln. Siswa Rt 001 Rw 000, Belo Laut, Muntok",-2.054732,105.183406,
348,PR Alfiah,"DSN ARAB II, Kurnia Jaya, Manggar",-2.8630391,108.2881709,
349,PT Alfindo Asia Mineral,"DEsa mengkubang kecamatan damar kabupaten belitung timur Provinsi bangka belitung, Mengkubang, Damar",-2.8049645,108.2080973,
350,PR Aliyah Dyah Untari,"Dusun Sukamandi Rt RT 005 RW 002, Sukamandi, Damar",-2.8375382,108.2496145,
351,PR Alma,"JL. DEPATI BARIN SRI MENANTI, Desa/Kelurahan Sri Menanti, Kec. Sungailiat, Kab. Bangka, Provinsi, Sri Menanti, Sungailiat",-1.856639,106.1099665,
352,PT Alter Abadi,"JL. Sijuk KM.12, Seru, Tanjung Pandan",-2.7178521,107.6709922,0213802865
353,PR Aminah,"Dusun Baru Selatan RT 17 RW 08, Desa/Kelurahan Baru, Kec. Manggar, Kab. Belitung Timur, Provinsi, Baru, Manggar",-2.8534379,108.2941031,
354,PR AMINAH ZAHARO,"Kp.Sawah Dusun II Rt 001 Rw 000, Belo Laut, Muntok",-2.0651651,105.1643012,
355,PR Amirul Zulkifli,"Dusun Sawah RT.003 RW.002, Lalang, Manggar",-2.8773965,108.2822389,
356,PR Amora,"Dusun VI Pait Jaya, Belo Laut, Muntok",-2.0555261,105.1932323,
357,PR Ampiang Yuk Erin,"Link. Jelutung rt 03, Sinar Jaya Jelutung, Sungailiat",-1.8363711,106.0977381,
358,PR Anas Tinton Saputra,"Dsn Baru Utara I RT 005 RW 003, Baru, Manggar",-2.8534379,108.2941031,
359,PR Andi Setiadi,"Jalan Raya Pangkalpinang - Sungailiat, Desa/Kelurahan Batu Rusa, Kec. Merawang, Kab. Bangka, Provinsi, Batu Rusa, Merawang",-2.0278976,106.1051705,
360,PR ANDREAS MAULANA,"Jalan Baru Rt 007, Kurau Barat, Koba",-2.3364149,106.2257384,
361,PT Skl Logam Primamandiri,"Jl. Brigjen Katamso No. 17, Tanjung Uncang, Batu Aji",1.047862,103.9393531,
362,PT A And One Precision Engineering Indonesia,"Jln.Asoka Lot SD 62-63 Bintan Inti Estate Lobam, Teluk Lobam, Seri Kuala Lobam",1.0352194,104.2744808,0770696188
363,PR A. Ade Husnanda,"JALAN PASAR BARU, Tanjung Uban Selatan, Bintan Utara",1.0636593,104.2318575,8117771154
364,PR Abdul Aziz,"jl. hang lekir, Sungailumpur, Singkep",-0.4835192,104.5648956,
365,PR Abdul Ghozi,"Jl Pantai Indah No 81 Rt 002 Rw 004 Kampung Baru, Kampung Baru, Tanjung Pinang Barat",0.9082954999999998,104.4473469,
366,PR Abdul Rahman,"Jalan Panglima Dompak, Batu IX, Tanjung Pinang Timur",0.8868025,104.5065176,
367,PR Abdul Somat,"Perumahan Citra Laguna 1 Blok C5 No. 8, Tembesi, Sagulung",1.0314407,104.0077321,
368,PR Abdurohman,"JL. GUDANG TENGAH RINTIS, Tarempa Selatan, Siantan",3.1859407,106.2258578,
369,PT Abiee Mandiri Sakti,"Komplek Harbour View Jl.Duyung Blok A No.10, sungai jodoh, batu ampar",1.156772,104.0033912,0778451121
370,PT ABLY METAL INDONESIA,"Jl. Mas Surya Negara Kav 1B No.12, Kabil Industrial Estate, Batu Besar, Nongsa",1.1136494,104.1338832,
371,PT Accord Mandiri Batam,"Tunas Bizpark Industrial Estate Type 11A-11E, 11T, 11W dan 11X, BELIAN, BATAM KOTA",1.1064229,104.0766473,07784801238
372,PT Ace Industries Indonesia,"Komp. Repindo Industrial Park Blok D2 No.07, Batu Ampar, Batu Merah, Batu Ampar",1.1692355,104.0100325,0778413086
373,PR Acep Syuyatna,"KP BANGUN SARI RT 001 RW 010, Desa/Kelurahan Batu IX, Kec. Tanjung Pinang Timur, Provinsi, Batu IX, Tanjung Pinang Timur",0.9045131000000001,104.5072722,
374,PT Aceplas Indonesia,"Executive Industrial Park, Block C2 No.15, Batam Centre, Belian, Batam Kota",1.1147895,104.0598004,07787482054
375,PR Ach Halili,"JL. PERALATAN NO. 02, Desa/Kelurahan Melayu Kota Piring, Kec. Tanjung Pinang Timur, Melayu Kota Piring, Tanjung Pinang Timur",0.9142357999999999,104.4888343,
376,PR Ade Syahbana,"jalan ganet perumahan dutama paragon blok c no.7, Pinang Kencana, Tanjung Pinang Timur",0.9438921000000001,104.5248674,
377,PR Adelina Novita Dani,"KP. SUKA JAYA RT 003 RW 003, Batu IX, Tanjung Pinang Timur",0.9045131000000001,104.5072722,
378,PR Adelio,"Jln dkw.mohd benteng no 135, Ranai Kota, Bunguran  Timur",3.940907,108.377502,
379,PR Adha,"Perum. Taman Deli Permai Blok A No.13, Air Raja, Tanjung Pinang Timur",0.9385836999999999,104.5042022,
380,PR Adhe Purnamaputra,"Perumahan Taman Harapan Indah, Blok D-Villa No. 14, Air Raja, Tanjung Pinang Timur",0.9175125999999999,104.5030641,
381,PT ADHI MUKTI PERSADA,"MEGA JAYA INDUSTRIAL PARK BLOK D NO. 3A BATAM CENTRE, BALOI PERMAI, BATAM KOTA",1.1082391,104.0486914,
382,PT Adhi Mukti Persada,"Lytech Industri Park blok E 02 No 1, Belian, Batam Kota",1.1079886,104.0646121,07784806961
383,PR Adinda Jalianti,"KP.	TIRTOMULYO  RT	002	RW  010, Pinang Kencana, Tanjung Pinang Timur",0.9275567,104.5247463,
384,PT Adiva Multi Sinergi,"PURI SELEBRITI 1 BLOK C1 NO.67, Batu Besar, Nongsa",1.1352706,104.1060634,
385,PR Adriansyah,"Jalan Bhayangkara GG. Krapu No.13, Tanjung Pinang Barat, Tanjung Pinang Barat",0.9152386,104.4401136,
386,PT Advanced Packaging Solution,"BATAM, Belian, Batam Kota",1.1244633,104.0827096,0778471091
387,PR Afri Anis,"JL SULTAN SULAIMAN KP BULANG BAWAH RT 003 RW 010, Kampung Bulang, Tanjung Pinang Timur",0.9233166,104.4717245,
388,PR Afrizal,"perum Lobam mas asri blok S.55, Teluk Sasah, Seri Kuala Lobam",1.0385474,104.2442059,
389,PR Agnes Dhamayanti,"vila hang lekir Blok DD7 No 11, Baloi Permai, Batam Kota",1.1013872,104.0566862,
390,PT Agromas Batam Pratama,"Jl. Palma Sei Binti, Tanjung Uncang, Batu Aji",1.031072,103.9420299,0778393350
391,PT Agroternakindo Terpadujaya,"Pulau Kepala Jeri, Kasu, Belakang Padang",1.0141958,103.7810579,
392,PR Agung Sulistio,"Jl Darusalam Gg Mangga No 8  Rt 003 Rw 005 Bukit Cermin, Bukit Cermin, Tanjung Pinang Barat",0.9212655,104.4486588,
393,PR Agus Hari Niti Sumito,"PERUMAHAN PESONA BUKIT LAGUNA BLOK C3 NO 18, Tanjung Piayu, Sei Beduk",1.0082999,104.078378,
394,PR Agus Jarot Subagyo,"PERUM BUANA IMPIAN 1 BLOK J NO. 07, Tembesi, Sagulung",1.0349314,104.0057196,
395,PR Agus Lindawati,"JL. TANAH MERAH RT 03 RW 02, Harapan Jaya, Bunguran  Tengah",3.8788685,108.3030015,
396,PR Agus Masrukhi,"TAMAN CIPTA ASRI D/178, Tembesi, Sagulung",1.0194765,104.0018421,
397,PR Agus Riyanto,"Kp Sidomulyo Jl Iklas No 6, Batu IX, Tanjung Pinang Timur",0.9054234000000001,104.573715,
398,PR Agus Sabana,"JLN AHMAD SYUKRI RAHIM KM 19, Sungai Lekop, Bintan Timur",0.8995827999999999,104.5830082,
399,PR Agus Setia Permana,"RAJAWALI BLOK F NO 5, Batu Besar, Nongsa",1.1480364,104.0317575,
400,PR Agus Titin Ernawati,"KP.MANSUR, Desa/Kelurahan Tembeling Tanjung, Kec. Teluk Bintan, Kab. Bintan, Provinsi, Tembeling Tanjung, Teluk Bintan",1.008763,104.470164,
401,CV Dipta Karya Mitratama,"Jl. Brigif No.39, Cipedak, Jagakarsa",-6.344602,106.8027371,02127803960
402,PT Madya Valensi Prima,"Soho Capital lantai 19 Podomoro City, Jl. Letjend S. Parman Kav.28, Desa/Kelurahan Tanjung Duren Selatan, Kec. Grogol Petamburan, Kota Adm. Jakarta Barat, Provinsi, Tanjung Duren
Selatan, Grogol Petamburan",-6.173890699999999,106.7895974,
403,CV 3 Mutiara Company,"JLN. 20 DESEMBER NO 40, PEGADUNGAN, KALIDERES",-6.131500000000001,106.7066,02129448955
404,PT 3di Garmentech,"Jl. HH No. 68 Rt 008 Rw 001, Kebon Jeruk, Kebon Jeruk",-6.2003491,106.765047,0215321855
